Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
1,Mark Warner (D-Va),80129151.00,214092575.00,348056000.00,Senate
2,Greg Gianforte (R-Mont),189334335.00,189334335.00,189334335.00,House
3,Paul Mitchell (R-Mich),75420142.00,179610071.00,283800000.00,House
4,Vernon Buchanan (R-Fla),32310120.00,157169056.00,282027993.00,House
5,Chris Collins (R-NY),80834052.00,154497026.00,228160000.00,House
6,Don Beyer (D-Va),10881046.00,124901516.00,238921986.00,House
7,Nancy Pelosi (D-Calif),-12825949.00,114662521.00,242150991.00,House
8,Dianne Feinstein (D-Calif),55027069.00,87938540.00,120850011.00,Senate
9,Suzan DelBene (D-Wash),33667084.00,79361042.00,125055000.00,House
10,Fred Upton (R-Mich),32541229.00,78965614.00,125390000.00,House
11,Roger Williams (R-Texas),44597061.00,66980026.00,89362992.00,House
12,Kevin Hern (R-Okla),34505238.00,60979615.00,87453992.00,House
13,Scott Peters (D-Calif),42982085.00,60456054.00,77930023.00,House
14,Richard W Allen (R-Ga),16905053.00,52127525.00,87349998.00,House
15,John Hoeven (R-ND),19263138.00,46689569.00,74116000.00,Senate
16,Joe Kennedy III (D-Mass),21823213.00,46546606.00,71270000.00,House
17,Ralph Norman (R-SC),5517147.00,43398070.00,81278994.00,House
18,Johnny Isakson (R-Ga),16510042.00,43006021.00,69502000.00,Senate
19,James E Risch (R-Idaho),15174053.00,41807024.00,68439996.00,Senate
20,Ron Johnson (R-Wis),14101014.00,39233507.00,64366000.00,Senate
21,Mitch McConnell (R-Ky),13445069.00,34137534.00,54830000.00,Senate
22,Kenny Marchant (R-Texas),12960026.00,33738015.00,54516004.00,House
23,Buddy Carter (R-Ga),13829062.00,33232031.00,52635000.00,House
24,Steven Daines (R-Mont),13442084.00,32863042.00,52284000.00,Senate
25,Lloyd Doggett (D-Texas),14295056.00,29723027.00,45150999.00,House
26,Brad Schneider (D-Ill),16143165.00,27159082.00,38175000.00,House
27,Lamar Alexander (R-Tenn),-9491902.00,25919044.00,61329991.00,Senate
28,David Perdue (R-Ga),10195194.00,25822596.00,41449999.00,Senate
29,Nita M Lowey (D-NY),9480019.00,24765009.00,40050000.00,House
30,Jim Sensenbrenner (R-Wis),15921438.00,21750911.00,27580385.00,House
31,Phil Roe (R-Tenn),19761620.00,20218616.00,20675613.00,House
32,Richard C Shelby (R-Ala),7590027.00,19145013.00,30700000.00,Senate
33,John A Yarmuth (D-Ky),5439096.00,17075547.00,28711999.00,House
34,Jim Cooper (D-Tenn),7654050.00,16269525.00,24885000.00,House
35,Michael Bennet (D-Colo),6277029.00,15706014.00,25135000.00,Senate
36,Liz Cheney (R-Wyo),5671028.00,14710513.00,23749999.00,House
37,Tom Rice (R-SC),5629020.00,14569510.00,23510000.00,House
38,Bill Foster (D-Ill),7246036.00,14130518.00,21015000.00,House
39,Dan Newhouse (R-Wash),894040.00,13777019.00,26659998.00,House
40,Carolyn B Maloney (D-NY),5128059.00,12999029.00,20869999.00,House
41,Earl Blumenauer (D-Ore),4695086.00,12561042.00,20426998.00,House
42,Mike Kelly (R-Pa),2493113.00,12419056.00,22344999.00,House
43,Mike Conaway (R-Texas),6302179.00,12417089.00,18532000.00,House
44,Ralph Abraham (R-La),4890050.00,12370524.00,19850999.00,House
45,Markwayne Mullin (R-Okla),4012026.00,11384012.00,18755999.00,House
46,Ann L Wagner (R-Mo),6655131.00,11055565.00,15456000.00,House
47,Jackie Speier (D-Calif),5980059.00,11028529.00,16077000.00,House
48,Thom Tillis (R-NC),4002094.00,10966045.00,17929996.00,Senate
49,Rob Portman (R-Ohio),5725090.00,10827545.00,15930000.00,Senate
50,Lisa Blunt Rochester (D-Del),5549092.00,10692546.00,15836000.00,House
51,Anna Eshoo (D-Calif),4806022.00,10298011.00,15790000.00,House
52,Chris Coons (D-Del),6678074.00,10126038.00,13574003.00,Senate
53,Chellie Pingree (D-Maine),3586013.00,9938006.00,16290000.00,House
54,Neal Dunn (R-Fla),4874067.00,9529533.00,14184999.00,House
55,Angus King (I-Maine),3477125.00,9494061.00,15510998.00,Senate
56,Vicky Hartzler (R-Mo),3165029.00,9395012.00,15624995.00,House
57,Josh Gottheimer (D-NJ),3442330.00,8935664.00,14428999.00,House
58,Al Lawson (D-Fla),4956123.00,8673061.00,12390000.00,House
59,Debbie Dingell (D-Mich),4820144.00,8486072.00,12152000.00,House
60,Brad Sherman (D-Calif),3400032.00,8427016.00,13454000.00,House
61,John A Barrasso (R-Wyo),3533013.00,8339006.00,13145000.00,Senate
62,Ken Calvert (R-Calif),-4349984.00,8000004.00,20349992.00,House
63,Elizabeth Warren (D-Mass),4880024.00,7977513.00,11075002.00,Senate
64,Kurt Schrader (D-Ore),3443148.00,7907573.00,12371999.00,House
65,John Curtis (R-Utah),-1870893.00,7860050.00,17590994.00,House
66,Brett Guthrie (R-Ky),3025020.00,7663010.00,12301000.00,House
67,Joe Manchin (D-WVa),3473070.00,7623534.00,11773999.00,Senate
68,Chuck Grassley (R-Iowa),4240150.00,7550075.00,10860000.00,Senate
69,Sheldon Whitehouse (D-RI),3064259.00,7443628.00,11822998.00,Senate
70,Richard Burr (R-NC),3426214.00,7426213.00,11426212.00,Senate
71,Ami Bera (D-Calif),3454067.00,7420029.00,11385992.00,House
72,Dennis Heck (D-Wash),4437069.00,7301034.00,10164999.00,House
73,Roger Marshall (R-Kan),2857100.00,7264049.00,11670998.00,House
74,Jim Himes (D-Conn),3563044.00,7262522.00,10962000.00,House
75,Joyce Beatty (D-Ohio),2655029.00,7216014.00,11777000.00,House
76,Judy Chu (D-Calif),4383063.00,7090031.00,9797000.00,House
77,French Hill (R-Ark),3224069.00,7035033.00,10845998.00,House
78,Suzanne Bonamici (D-Ore),3491033.00,6978016.00,10465000.00,House
79,Ron Wyden (D-Ore),5370048.00,6877025.00,8384003.00,Senate
80,Katherine Clark (D-Mass),2677119.00,6804059.00,10930999.00,House
81,John Lee Ratcliffe (R-Texas),2465006.00,6757503.00,11050000.00,House
82,David McKinley (R-WVa),3839113.00,6739056.00,9639000.00,House
83,Scott Tipton (R-Colo),2978071.00,6574035.00,10170000.00,House
84,Ted Budd (R-NC),2798071.00,6400534.00,10002998.00,House
85,Robert B Aderholt (R-Ala),2676022.00,6370510.00,10064999.00,House
86,Kathy Castor (D-Fla),3001037.00,6296518.00,9592000.00,House
87,Tom O'Halleran (D-Ariz),2136011.00,6288005.00,10440000.00,House
88,Steve Cohen (D-Tenn),3448116.00,6198058.00,8948000.00,House
89,Chuck Fleischmann (R-Tenn),3340555.00,5958051.00,8575548.00,House
90,Lou Correa (D-Calif),3794043.00,5940521.00,8087000.00,House
91,Brad Wenstrup (R-Ohio),2077066.00,5917032.00,9756999.00,House
92,Bill Pascrell Jr. (D-NJ),2635041.00,5757020.00,8879000.00,House
93,Maria Cantwell (D-Wash),1094022.00,5756508.00,10418994.00,Senate
94,Tom Carper (D-Del),2833192.00,5726595.00,8619999.00,Senate
95,Roy Blunt (R-Mo),2599022.00,5704510.00,8809999.00,Senate
96,Mike Thompson (D-Calif),3434046.00,5672022.00,7909999.00,House
97,Pete Olson (R-Texas),2605038.00,5665019.00,8725000.00,House
98,Peter Welch (D-Vt),3013128.00,5567564.00,8122000.00,House
99,Al Green (D-Texas),2467014.00,5373507.00,8280000.00,House
100,James Comer (R-Ky),1920024.00,5285011.00,8649998.00,House
101,Tom Cole (R-Okla),3186060.00,5251030.00,7316000.00,House
102,Doug Jones (D-Ala),2226130.00,5209563.00,8192997.00,Senate
103,Robert E Latta (R-Ohio),3147063.00,5188531.00,7230000.00,House
104,John Garamendi (D-Calif),2356016.00,5168508.00,7981000.00,House
105,James M Inhofe (R-Okla),2368012.00,5157006.00,7946000.00,Senate
106,Stephanie Murphy (D-Fla),2888035.00,4985016.00,7081998.00,House
107,Mary Gay Scanlon (D-Pa),2770069.00,4924533.00,7078998.00,House
108,Jim Costa (D-Calif),1894028.00,4902513.00,7910999.00,House
109,George Holding (R-NC),1938024.00,4876510.00,7814997.00,House
110,Catherine Cortez Masto (D-Nev),2350042.00,4601020.00,6851998.00,Senate
111,Mike Rounds (R-SD),-1442935.00,4532031.00,10506998.00,Senate
112,Andy Biggs (R-Ariz),1953009.00,4512004.00,7070999.00,House
113,Blake Farenthold (R-Texas),3410600.00,4405582.00,5400564.00,House
114,Gary Peters (D-Mich),1750211.00,4368105.00,6985999.00,Senate
115,Justin Amash (R-Mich),1202037.00,4366518.00,7530999.00,House
116,Mazie K Hirono (D-Hawaii),2661039.00,4339019.00,6017000.00,Senate
117,Daniel Lipinski (D-Ill),2557054.00,4256027.00,5955000.00,House
118,Collin Peterson (D-Minn),1816008.00,4241504.00,6667000.00,House
119,Cindy Hyde-Smith (R-Miss),1921089.00,4175541.00,6429994.00,Senate
120,Jamie Raskin (D-Md),2314073.00,4162036.00,6010000.00,House
121,Susan Collins (R-Maine),2255087.00,4124043.00,5993000.00,Senate
122,Zoe Lofgren (D-Calif),2143093.00,3844546.00,5546000.00,House
123,Jeanne Shaheen (D-NH),-344974.00,3823005.00,7990984.00,Senate
124,Blaine Luetkemeyer (R-Mo),1466006.00,3765503.00,6065000.00,House
125,Jon Tester (D-Mont),1284008.00,3672003.00,6059999.00,Senate
126,Virginia Foxx (R-NC),2240032.00,3670516.00,5101000.00,House
127,David Price (D-NC),1910084.00,3568042.00,5226000.00,House
128,Ted Lieu (D-Calif),1049040.00,3533519.00,6017999.00,House
129,Kamala Harris (D-Calif),1592053.00,3499026.00,5405999.00,Senate
130,Doug LaMalfa (R-Calif),1281008.00,3498504.00,5716000.00,House
131,Bill Flores (R-Texas),3490195.00,3490195.00,3490195.00,House
132,Maggie Hassan (D-NH),1478086.00,3467042.00,5455998.00,Senate
133,Susan Brooks (R-Ind),2412037.00,3428519.00,4445001.00,House
134,David P Joyce (R-Ohio),1905063.00,3415031.00,4925000.00,House
135,Frank Pallone Jr. (D-NJ),1768105.00,3413551.00,5058998.00,House
136,John Carter (R-Texas),1067008.00,3373503.00,5679999.00,House
137,Matt Cartwright (D-Pa),3305306.00,3305306.00,3305306.00,House
138,Andy Harris (R-Md),1918038.00,3244519.00,4571000.00,House
139,Ted Cruz (R-Texas),-9027848.00,3198068.00,15423985.00,Senate
140,Ben Cardin (D-Md),1602092.00,3112546.00,4623000.00,Senate
141,Diana DeGette (D-Colo),1680051.00,3095025.00,4509999.00,House
142,Ted Yoho (R-Fla),2015944.00,3089937.00,4163931.00,House
143,David Kustoff (R-Tenn),1590084.00,3048541.00,4506999.00,House
144,Alan Lowenthal (D-Calif),1301143.00,3015071.00,4729000.00,House
145,Pat Roberts (R-Kan),1680030.00,2966514.00,4252999.00,Senate
146,Bob Gibbs (R-Ohio),1587064.00,2947531.00,4307999.00,House
147,Bill Keating (D-Mass),1708042.00,2940021.00,4172000.00,House
148,Tom Suozzi (D-NY),1657067.00,2932533.00,4208000.00,House
149,Susan Davis (D-Calif),1674042.00,2817021.00,3960000.00,House
150,Thomas Massie (R-Ky),703004.00,2816501.00,4929998.00,House
151,Lloyd Smucker (R-Pa),435010.00,2810002.00,5184995.00,House
152,Ben Sasse (R-Neb),281015.00,2788007.00,5294999.00,Senate
153,Billy Long (R-Mo),1152045.00,2783022.00,4413999.00,House
154,Deb Fischer (R-Neb),122012.00,2776005.00,5429998.00,Senate
155,Ann Kuster (D-NH),2145625.00,2762620.00,3379616.00,House
156,Don Norcross (D-NJ),1446068.00,2744534.00,4043000.00,House
157,James P McGovern (D-Mass),381005.00,2698001.00,5014998.00,House
158,Gerry Connolly (D-Va),1405047.00,2650022.00,3894997.00,House
159,Jeff Merkley (D-Ore),980019.00,2603008.00,4225998.00,Senate
160,Lois J Frankel (D-Fla),939176.00,2588088.00,4237000.00,House
161,Greg Walden (R-Ore),1556033.00,2574016.00,3592000.00,House
162,Rosa L DeLauro (D-Conn),131007.00,2541002.00,4950997.00,House
163,David Scott (D-Ga),151004.00,2508001.00,4864998.00,House
164,Nanette Barragan (D-Calif),21016.00,2435507.00,4849998.00,House
165,Austin Scott (R-Ga),1155044.00,2397020.00,3638997.00,House
166,Dan Sullivan (R-Alaska),986042.00,2372519.00,3758997.00,Senate
167,Michael Burgess (R-Texas),1326054.00,2328027.00,3330000.00,House
168,Brian Babin (R-Texas),1034102.00,2287551.00,3541000.00,House
169,Shelley Moore Capito (R-WVa),-224830.00,2149080.00,4522991.00,Senate
170,Mike Enzi (R-Wyo),1042056.00,2137028.00,3232000.00,Senate
171,Eleanor Holmes Norton (D-DC),1162038.00,2084019.00,3006000.00,House
172,Pat Toomey (R-Pa),721060.00,2038029.00,3354998.00,Senate
173,Tom Udall (D-NM),635032.00,1985515.00,3335998.00,Senate
174,Martha Roby (R-Ala),1058047.00,1948523.00,2839000.00,House
175,Mike Simpson (R-Idaho),1023041.00,1944519.00,2865998.00,House
176,Gary Palmer (R-Ala),796088.00,1918044.00,3040000.00,House
177,Cathy McMorris Rodgers (R-Wash),985027.00,1892513.00,2799999.00,House
178,John Cornyn (R-Texas),1074046.00,1884522.00,2694999.00,Senate
179,Dutch Ruppersberger (D-Md),1131021.00,1860510.00,2590000.00,House
180,Ron Kind (D-Wis),1145018.00,1835009.00,2525000.00,House
181,Pete Visclosky (D-Ind),964037.00,1775018.00,2586000.00,House
182,Jerry Moran (R-Kan),749079.00,1759539.00,2769999.00,Senate
183,Susan Wild (D-Pa),839032.00,1746015.00,2652999.00,House
184,Larry Bucshon (R-Ind),960040.00,1744520.00,2529000.00,House
185,John Rutherford (R-Fla),712109.00,1712054.00,2712000.00,House
186,Tina Smith (D-Minn),-3638944.00,1696020.00,7030984.00,Senate
187,Patty Murray (D-Wash),839022.00,1687010.00,2534999.00,Senate
188,Rob Wittman (R-Va),-256872.00,1645563.00,3547998.00,House
189,Mike D Rogers (R-Ala),152026.00,1601011.00,3049996.00,House
190,Juan Vargas (D-Calif),17009.00,1591002.00,3164995.00,House
191,Raja Krishnamoorthi (D-Ill),482030.00,1581013.00,2679997.00,House
192,Julia Brownley (D-Calif),207036.00,1569516.00,2931997.00,House
193,Frederica Wilson (D-Fla),960011.00,1555005.00,2150000.00,House
194,David Cicilline (D-RI),1017006.00,1548503.00,2080000.00,House
195,Peter DeFazio (D-Ore),910020.00,1519010.00,2128000.00,House
196,Stephen F Lynch (D-Mass),807018.00,1519008.00,2230999.00,House
197,Lisa Murkowski (R-Alaska),817024.00,1499011.00,2180999.00,Senate
198,Bill Huizenga (R-Mich),926022.00,1498511.00,2071000.00,House
199,Jared Huffman (D-Calif),811045.00,1478522.00,2146000.00,House
200,Charlie Crist (D-Fla),902011.00,1442005.00,1982000.00,House
201,Adam Schiff (D-Calif),796024.00,1436011.00,2075999.00,House
202,Bobby Scott (D-Va),566071.00,1422035.00,2277999.00,House
203,Elijah E Cummings (D-Md),636005.00,1420501.00,2204998.00,House
204,Pat Tiberi (R-Ohio),687041.00,1399520.00,2111999.00,House
205,Dwight Evans (D-Pa),489051.00,1354524.00,2219998.00,House
206,Frank D Lucas (R-Okla),485013.00,1352504.00,2219995.00,House
207,Debbie Lesko (R-Ariz),767030.00,1348515.00,1930000.00,House
208,Doris Matsui (D-Calif),763014.00,1279007.00,1795000.00,House
209,Don Young (R-Alaska),782009.00,1256004.00,1730000.00,House
210,Donald McEachin (D-Va),733012.00,1232505.00,1731999.00,House
